,size,method,run,time_seconds,gflops,cpus
10,50,numba,0,6.540063768625259e-05,3.8225926970212214,16
11,50,numba,1,5.768425762653351e-05,4.333938067099357,16
12,50,numba,2,5.807895213365555e-05,4.304485374059119,16
13,50,numba,3,5.991635844111442e-05,4.17248321667778,16
14,50,numba,4,5.747973918914795e-05,4.349358635350236,16
15,50,numba,5,5.770819261670112e-05,4.332140527437838,16
16,50,numba,6,5.652196705341339e-05,4.423059087164278,16
17,50,numba,7,5.620336160063744e-05,4.448132511653264,16
18,50,numba,8,5.8984849601984024e-05,4.238376493064601,16
19,50,numba,9,5.6694168597459794e-05,4.409624590759082,16
20,100,numba,0,0.0001337207853794,14.956537940794645,16
21,100,numba,1,0.0001333659514784,14.996331356153537,16
22,100,numba,2,0.0001206642016768,16.574924229443464,16
23,100,numba,3,0.0001215300522744,16.45683485335105,16
24,100,numba,4,0.0001192315481603,16.774083964009844,16
25,100,numba,5,0.0001169711351394,17.098235369053988,16
26,100,numba,6,0.0001182537525892,16.91278252240616,16
27,100,numba,7,0.0001195382326841,16.731048762321468,16
28,100,numba,8,0.0001187545247375,16.841463551972094,16
29,100,numba,9,0.0001214115880429,16.472892186305035,16
30,250,numba,0,0.0014802354387938,21.1115064408015,16
31,250,numba,1,0.0012417122721672,25.166860874668036,16
32,250,numba,2,0.0012724738568067,24.558461325422577,16
33,250,numba,3,0.001246184669435,25.0765402323298,16
34,250,numba,4,0.0012889468111097,24.24460011122864,16
35,250,numba,5,0.0012485427781939,25.029178451701856,16
36,250,numba,6,0.0012831116095185,24.35485718325484,16
37,250,numba,7,0.0012569648213684,24.86147541184022,16
38,250,numba,8,0.001269454229623,24.61687808096761,16
39,250,numba,9,0.0012405877932906,25.18967232227111,16
40,500,numba,0,0.0101868031546473,24.541555992072624,16
41,500,numba,1,0.0099735535681247,25.06629139677895,16
42,500,numba,2,0.0101002549752593,24.751850385200967,16
43,500,numba,3,0.0106803024187684,23.407576882905214,16
44,500,numba,4,0.0105046010576188,23.799095142092817,16
45,500,numba,5,0.0102271889336407,24.444644723210754,16
46,500,numba,6,0.0100871765986084,24.783942023428736,16
47,500,numba,7,0.0100169147364795,24.957784565096873,16
48,500,numba,8,0.0096913181245327,25.79628454948223,16
49,500,numba,9,0.0093543985858559,26.72539529991859,16
50,1000,numba,0,0.0896368145942688,22.312260972824397,16
51,1000,numba,1,0.096161014586687,20.79844944020472,16
52,1000,numba,2,0.0927102367393672,21.572590798387495,16
53,1000,numba,3,0.0772218793630599,25.899395566338985,16
54,1000,numba,4,0.0642029964365065,31.15119404088714,16
55,1000,numba,5,0.0504271700046956,39.661158851741334,16
56,1000,numba,6,0.060425776336342,33.098457665940366,16
57,1000,numba,7,0.0566899420693516,35.279626808460996,16
58,1000,numba,8,0.0504282600246369,39.66030156548907,16
59,1000,numba,9,0.0461329005658626,43.35300784186886,16
60,2500,numba,0,0.6519044454209506,47.93647323546185,16
61,2500,numba,1,0.6654233699664474,46.962582636037745,16
62,2500,numba,2,0.6453992448747158,48.41964140516808,16
63,2500,numba,3,0.6680410821922124,46.7785602308341,16
64,2500,numba,4,0.647664638608694,48.25027975455152,16
65,2500,numba,5,0.6463070856407285,48.351628342461595,16
66,2500,numba,6,0.6493323155678808,48.126358800839846,16
67,2500,numba,7,0.6492250987328589,48.13430666958649,16
68,2500,numba,8,0.6490432601422071,48.14779217205497,16
69,2500,numba,9,0.6580352329649031,47.489858345725914,16
70,5000,numba,0,9.315998213179409,26.83555688603753,16
71,5000,numba,1,9.33824514662847,26.77162529731417,16
72,5000,numba,2,9.189223986398428,27.20577933131692,16
73,5000,numba,3,9.21411838242784,27.132275669126702,16
74,5000,numba,4,9.444623327162116,26.47008687800353,16
75,5000,numba,5,9.20720731196925,27.15264156971932,16
76,5000,numba,6,9.279403009824454,26.941388334499056,16
77,5000,numba,7,9.189388426858931,27.205292494688216,16
78,5000,numba,8,9.28833107529208,26.915491919213107,16
79,5000,numba,9,9.233626569528132,27.074952416315423,16
80,7500,numba,0,40.18005762519315,20.999223243297777,16
81,7500,numba,1,40.61746598193422,20.77308319468482,16
82,7500,numba,2,40.21020850278437,20.98347736599213,16
83,7500,numba,3,40.063276442792265,21.060434265899836,16
84,7500,numba,4,40.16129713896662,21.00903257881452,16
85,7500,numba,5,40.600716959219426,20.7816527192731,16
86,7500,numba,6,39.85335985599086,21.171364297737252,16
87,7500,numba,7,39.5352002508007,21.34174089539136,16
88,7500,numba,8,40.18944893497974,20.99431622874591,16
89,7500,numba,9,41.08088983399794,20.53874693098115,16
90,10000,numba,0,85.70639838483184,23.33548063727709,16
91,10000,numba,1,84.68175049237907,23.617839597918913,16
92,10000,numba,2,85.9708879718557,23.26368899033287,16
93,10000,numba,3,85.80881738457829,23.307628061535823,16
94,10000,numba,4,84.64465764146298,23.628189371047853,16
95,10000,numba,5,86.88513127658516,23.018898292658548,16
96,10000,numba,6,84.96695227567106,23.538563481847618,16
97,10000,numba,7,83.9276754507795,23.830041631177146,16
98,10000,numba,8,83.84852263620124,23.852537136253712,16
99,10000,numba,9,79.94034800445661,25.01865515882545,16
0,10,numpy,0,1.9189901649951935e-06,1.0422148255277843,8
1,10,numpy,1,1.8067937344312668e-06,1.106933216496652,8
2,10,numpy,2,1.7852522432804109e-06,1.1202898680160676,8
